gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Female,Group b,Bachelor's degree,Standard,None,72,72,74
Female,Group c,Some college,Standard,Completed,69,90,88
Female,Group b,Master's degree,Standard,None,90,95,93
Male,Group a,Associate's degree,Free/reduced,None,47,57,44
Male,Group c,Some college,Standard,None,76,78,75
Female,Group b,Associate's degree,Standard,None,71,83,78
Female,Group b,Some college,Standard,Completed,88,95,92
Male,Group b,Some college,Free/reduced,None,40,43,39
Male,Group d,High school,Free/reduced,Completed,64,64,67
Female,Group b,High school,Free/reduced,None,38,60,50
Male,Group c,Associate's degree,Standard,None,58,54,52
Male,Group d,Associate's degree,Standard,None,40,52,43
Female,Group b,High school,Standard,None,65,81,73
Male,Group a,Some college,Standard,Completed,78,72,70
Female,Group a,Master's degree,Standard,None,50,53,58
Female,Group c,Some high school,Standard,None,69,75,78
Male,Group c,High school,Standard,None,88,89,86
Female,Group b,Some high school,Free/reduced,None,18,32,28
Male,Group c,Master's degree,Free/reduced,Completed,46,42,46
Female,Group c,Associate's degree,Free/reduced,None,54,58,61
Male,Group d,High school,Standard,None,66,69,63
Female,Group b,Some college,Free/reduced,Completed,65,75,70
Male,Group d,Some college,Standard,None,44,54,53
Female,Group c,Some high school,Standard,None,69,73,73
Male,Group d,Bachelor's degree,Free/reduced,Completed,74,71,80
Male,Group a,Master's degree,Free/reduced,None,73,74,72
Male,Group b,Some college,Standard,None,69,54,55
Female,Group c,Bachelor's degree,Standard,None,67,69,75
Male,Group c,High school,Standard,None,70,70,65
Female,Group d,Master's degree,Standard,None,62,70,75
Female,Group d,Some college,Standard,None,69,74,74
Female,Group b,Some college,Standard,None,63,65,61
Female,Group e,Master's degree,Free/reduced,None,56,72,65
Male,Group d,Some college,Standard,None,40,42,38
Male,Group e,Some college,Standard,None,97,87,82
Male,Group e,Associate's degree,Standard,Completed,81,81,79
Female,Group d,Associate's degree,Standard,None,74,81,83
Female,Group d,Some high school,Free/reduced,None,50,64,59
Female,Group d,Associate's degree,Free/reduced,Completed,75,90,88
Male,Group b,Associate's degree,Free/reduced,None,57,56,57
Male,Group c,Associate's degree,Free/reduced,None,55,61,54
Female,Group c,Associate's degree,Standard,None,58,73,68
Female,Group b,Associate's degree,Standard,None,53,58,65
Male,Group b,Some college,Free/reduced,Completed,59,65,66
Female,Group e,Associate's degree,Free/reduced,None,50,56,54
Male,Group b,Associate's degree,Standard,None,65,54,57
Female,Group a,Associate's degree,Standard,Completed,55,65,62
Female,Group c,High school,Standard,None,66,71,76
Female,Group d,Associate's degree,Free/reduced,Completed,57,74,76
Male,Group c,High school,Standard,Completed,82,84,82
Male,Group e,Some college,Standard,None,53,55,48
Male,Group e,Associate's degree,Free/reduced,Completed,77,69,68
Male,Group c,Some college,Standard,None,53,44,42
Male,Group d,High school,Standard,None,88,78,75
Female,Group c,Some high school,Free/reduced,Completed,71,84,87
Female,Group c,High school,Free/reduced,None,33,41,43
Female,Group e,Associate's degree,Standard,Completed,82,85,86
Male,Group d,Associate's degree,Standard,None,52,55,49
Male,Group d,Some college,Standard,Completed,58,59,58
Female,Group c,Some high school,Free/reduced,None,0,17,10
Male,Group e,Bachelor's degree,Free/reduced,Completed,79,74,72
Male,Group a,Some high school,Free/reduced,None,39,39,34
Male,Group a,Associate's degree,Free/reduced,None,62,61,55
Female,Group c,Associate's degree,Standard,None,69,80,71
Female,Group d,Some high school,Standard,None,59,58,59
Male,Group b,Some high school,Standard,None,67,64,61
Male,Group d,Some high school,Free/reduced,None,45,37,37
Female,Group c,Some college,Standard,None,60,72,74
Male,Group b,Associate's degree,Free/reduced,None,61,58,56
Female,Group c,Associate's degree,Standard,None,39,64,57
Female,Group d,Some college,Free/reduced,Completed,58,63,73
Male,Group d,Some college,Standard,Completed,63,55,63
Female,Group a,Associate's degree,Free/reduced,None,41,51,48
Male,Group c,Some high school,Free/reduced,None,61,57,56
Male,Group c,Some high school,Standard,None,49,49,41
Male,Group b,Associate's degree,Free/reduced,None,44,41,38
Male,Group e,Some high school,Standard,None,30,26,22
Male,Group a,Bachelor's degree,Standard,Completed,80,78,81
Female,Group d,Some high school,Standard,Completed,61,74,72
Female,Group e,Master's degree,Standard,None,62,68,68
Female,Group b,Associate's degree,Standard,None,47,49,50
Male,Group b,High school,Free/reduced,None,49,45,45
Male,Group a,Some college,Free/reduced,Completed,50,47,54
Male,Group e,Associate's degree,Standard,None,72,64,63
Male,Group d,High school,Free/reduced,None,42,39,34
Female,Group c,Some college,Standard,None,73,80,82
Female,Group c,Some college,Free/reduced,None,76,83,88
Female,Group d,Associate's degree,Standard,None,71,71,74
Female,Group a,Some college,Standard,None,58,70,67
Female,Group d,Some high school,Standard,None,73,86,82
Female,Group c,Bachelor's degree,Standard,None,65,72,74
Male,Group c,High school,Free/reduced,None,27,34,36
Male,Group c,High school,Standard,None,71,79,71
Male,Group c,Associate's degree,Free/reduced,Completed,43,45,50
Female,Group b,Some college,Standard,None,79,86,92
Male,Group c,Associate's degree,Free/reduced,Completed,78,81,82
Male,Group b,Some high school,Standard,Completed,65,66,62
Female,Group e,Some college,Standard,Completed,63,72,70
Female,Group d,Some college,Free/reduced,None,58,67,62
Female,Group d,Bachelor's degree,Standard,None,65,67,62
Male,Group b,Some college,Standard,None,79,67,67
Male,Group d,Bachelor's degree,Standard,Completed,68,74,74
Female,Group d,Associate's degree,Standard,None,85,91,89
Male,Group b,High school,Standard,Completed,60,44,47
Male,Group c,Some college,Standard,Completed,98,86,90
Female,Group c,Some college,Standard,None,58,67,72
Female,Group d,Master's degree,Standard,None,87,100,100
Male,Group e,Associate's degree,Standard,Completed,66,63,64
Female,Group b,Associate's degree,Free/reduced,None,52,76,70
Female,Group b,Some high school,Standard,None,70,64,72
Female,Group d,Associate's degree,Free/reduced,Completed,77,89,98
Male,Group c,High school,Standard,None,62,55,49
Male,Group a,Associate's degree,Standard,None,54,53,47
Female,Group d,Some college,Standard,None,51,58,54
Female,Group e,Bachelor's degree,Standard,Completed,99,100,100
Male,Group c,High school,Standard,None,84,77,74
Female,Group b,Bachelor's degree,Free/reduced,None,75,85,82
Female,Group d,Bachelor's degree,Standard,None,78,82,79
Female,Group d,Some high school,Standard,None,51,63,61
Female,Group c,Some college,Standard,None,55,69,65
Female,Group c,Bachelor's degree,Standard,Completed,79,92,89
Male,Group b,Associate's degree,Standard,Completed,91,89,92
Female,Group c,Some college,Standard,Completed,88,93,93
Male,Group d,High school,Free/reduced,None,63,57,56
Male,Group e,Some college,Standard,None,83,80,73
Female,Group b,High school,Standard,None,87,95,86
Male,Group b,Some high school,Standard,None,72,68,67
Male,Group d,Some college,Standard,Completed,65,77,74
Male,Group d,Master's degree,Standard,None,82,82,74
Female,Group a,Bachelor's degree,Standard,None,51,49,51
Male,Group d,Master's degree,Standard,None,89,84,82
Male,Group c,Some high school,Free/reduced,Completed,53,37,40
Male,Group e,Some college,Free/reduced,Completed,87,74,70
Female,Group c,Some college,Standard,Completed,75,81,84
Male,Group d,Bachelor's degree,Free/reduced,Completed,74,79,75
Male,Group c,Bachelor's degree,Standard,None,58,55,48
Male,Group b,Some high school,Standard,Completed,51,54,41
Male,Group e,High school,Standard,None,70,55,56
Female,Group c,Associate's degree,Standard,None,59,66,67
Male,Group d,Some college,Standard,Completed,71,61,69
Female,Group d,Some high school,Standard,None,76,72,71
Female,Group c,Some college,Free/reduced,None,59,62,64
Female,Group e,Some college,Free/reduced,Completed,42,55,54
Male,Group a,High school,Standard,None,57,43,47
Male,Group d,Some college,Standard,None,88,73,78
Female,Group c,Some college,Free/reduced,None,22,39,33
